job_name,company_name,job_type,job_category,job_sub_category,sallary,job_id,job_desc
Senior HR Data Specialist,PT Finture Tech Indonesia,Full,Pengembangan & Administrasi DatabasePengembangan & Administrasi Database,Teknologi,,79140497,"Job Description :Collect, process, and analyze data from HRIS and other sources to provide actionable insights and recommendations.Create detailed reports and visualizations to communicate findings to the management.Identify areas for improvement in HR processes and develop data-driven strategies to enhance efficiency and effectiveness.Requirements :Bachelor's Degree from any related field.4 - 6 years experience in handling HRIS or Compensation and Benefit.Proficient in Excel and HR Information System, basic understanding in payroll will be a plus.Strong communication skills and the ability to translate complex data into clear, actionable insights.Willing to be placed in SCBD area."
Data Analyst - SCN Logistics Groups,PT Citra Tubindo Tbk,Full,Analis Bisnis/SistemAnalis Bisnis/Sistem,Teknologi,,79076983,"Mission:To deliver precise and timely reporting on company operations and service records, enabling informed decision-making and operational efficiency.Key Activities:Daily Activity Recording:Document daily activities discussed in the JO Meeting to ensure accountability and transparency within the team.Work Order Management:Prepare, maintain, and update the Work Order database to facilitate seamless tracking of service requests and operational tasks.Data Tracking:Monitor and record actual data pertaining to operations and fleet activities, ensuring alignment with planned objectives and enhancing performance tracking.Invoice Oversight:Scrutinize and maintain accurate invoice records from RFPC and Commercial departments to ensure financial integrity and prompt processing.Equipment Usage Monitoring:Track and analyze equipment usage data from Operations and Fleet to optimize resource allocation and identify improvement opportunities.Cost Monitoring:Keep detailed records of actual costs derived from Purchase Requisitions (PR) and Purchase Orders (PO), contributing to effective budget management.Digital Process Development:Innovate and implement digital processes for work orders, improving efficiency and reducing manual errors in data handling.Monthly Activity Analysis:Conduct comprehensive analyses of monthly activities to identify trends, insights, and areas for improvement.Data Preparation for Monthly Closing:Compile and prepare necessary data to support timely and accurate monthly financial closing processes.Main Responsibilities:Ensure meticulous documentation of all service-related activities, maintaining compliance with company standards and enhancing operational transparency. This role is pivotal in supporting strategic initiatives and fostering continuous improvement within the organization.Scope:Provide dedicated support to the SCN Logistic Groups, collaborating across departments to drive operational excellence and achieve company objectives."
Data Center - ICT Engineer,PT Sinergi Daya Mitra,Kontrak,Teknik – JaringanTeknik – Jaringan,Teknologi,,79171675,"Kualifikasi:Pendidikan miniman S1 di bidang TI/Teknik Informatika/Teknik Elektro.Pengalaman minimal 2-5 tahun di bidang ICT, terutama di data center dan jaringan.Menguasai jaringan (TCP/IP, routing, firewall), sistem operasi (Windows/Linux), virtualisasi (VMware), dan keamanan jaringan.Memiliki sertifikasi seperti : CCNA, CCNP, CompTIA Network+, VMware, atau CISSP (nilai plus)On-Call: Siap bekerja dalam shift atau on-call.Memiliki kemampuan Bahasa Inggris yang baik.Ruang Lingkup/Tanggung Jawab:Memastikan kinerja optimal jaringan (LAN, WAN, VPN) dan server, serta menjaga uptime sistem penting.Instalasi dan pemeliharaan perangkat keras dan perangkat lunak terkait ICT.Menangani keamanan jaringan dari ancaman siber dengan firewall dan protokol keamanan.Monitoring performa jaringan, server, dan sistem penyimpanan, serta mengatasi insiden.Memberikan dukungan teknis lanjutan dan troubleshooting masalah ICT.Menyediakan dukungan internal dan menjaga komunikasi antar tim.Dokumentasi jaringan, pelaporan kinerja, dan pembaruan sistem.Mengadopsi teknologi terbaru dan berkolaborasi dengan vendor.Menjamin operasional sistem 24/7 sesuai SLA dan memastikan backup data serta pemulihan bencana."
IT Database & Storage Technology Officer,PT CIMB Niaga Auto Finance,Full,Pengembangan & Administrasi DatabasePengembangan & Administrasi Database,Teknologi,,79183140,"Job DescriptionProvide database support services at all times to ensure continuous system availabilityAssist in design, development and implementation of database systemsPerforms database upgrades and migrations to support IT projectsOptimize database systems for performance and operational efficiencyPerform data backup and archival on regular basisMaintain standard data recovery processes to improve recoverability timeRecommend solutions to improve database managementsResolve issues related to database design and managements.﻿Requirement :Experience minimal 2 Year in Database SQL ServerExperience in maintaining Database SQL ServerUnderstand the concept of Relational DatabaseUnderstand Syntax Query RDBMS & tuning queriesUnderstand database design and architectureUnderstand strategy to tune performanceBackup and restore databaseUnderstand the concept of NoSQL is a plus and preferred"
Staff EDP (Electronic Data Processing),PT Pangan Lestari,Full,Administrasi Jaringan & SistemAdministrasi Jaringan & Sistem,Teknologi,,79113093,"Tugas dan Tanggung Jawab:Mengelola dan mengembangkan sistem yang berkaitan dengan pemrosesan data.Membuat dan mengembangkan aplikasi, baik berbasis desktop maupun web, untuk menunjang pengelolaan proses bisnis perusahaan.Memastikan semua aplikasi/sistem dapat digunakan dan berjalan lancar serta memperbaiki sistem yang bermasalah.Melakukan proses implementasi sistem atau aplikasi, mengevaluasi, dan mengembangkan sesuai dengan kebutuhan perusahaan.Memelihara dan memonitor infrastruktur data seperti database, data warehouse, dan sistem pemrosesan data berskala besar sesuai kebutuhan perusahaan.Melakukan update data secara berkala pada sistem yang berhubungan dengan harga produk, sales, collector, dan admin piutang.Melaksanakan training untuk meningkatkan pemahaman dalam penggunaan program dan memberikan technical support untuk sistem informasi.Kualifikasi:Pendidikan minimal S1 dengan latar belakang pendidikan terkait Sistem Informatika (SI) atau setara.Pengalaman kerja minimal 1 tahun pada posisi setara (Fresh Graduate atau Tanpa Pengalaman juga dipertimbangkan).Mampu mengoperasikan MS. Office (Word, Excel, Power Point).Memiliki kemampuan dalam:Inovasi dan KolaborasiTroubleshootingBahasa PemrogramanWeb Development FrameworksDatabase Management SystemsSoftware TestingSystem Design"
CREDIT ANALYST (Semarang),PT MIZUHO LEASING INDONESIA TBK,Full,Analisis & PelaporanAnalisis & Pelaporan,Perbankan,,79168700,Deskripsi KerjaMemeriksa dan menganalisa dokumen persyaratan kredit beserta hasil input data dari marketingMelakukan verifikasi dan analisa kredit terhadap kelengkapan dokumen persyaratan kreditMelakukan resurvey atas aplikasi-aplikasi yang telah disetujuiMembuat keputusan persetujuan kredit bersama branch headKualifikasiUsia maksimal 35 tahunPendidikan minimal S1 semua jurusanMemiliki kemampuan yang baik dalam menganalisa suatu dokumen pengajuan kreditTeliti dalam pengambilan keputusanMemiliki pengalaman minimal 2 tahun dibidang yang sama (Perusahaan Multifinance)SLIK/BI Checking Clear
Data Analyst,PT Magna Hardware,Full,"Matematika, Statistik & Teknik InformasiMatematika, Statistik & Teknik Informasi",Sains,,79106577,"Deskripsi Pekerjaan:Merancang dan memelihara sistem data dan databaseMengidentifikasi data dari sumber primer dan sekunder, kemudian menata ulang data tersebut sehingga dapat lebih mudah dibacaMenyiapkan laporan untuk kepemimpinan eksekutif yang secara efektif dan menggunakan data yang relevanMenggunakan alat statistik untuk menginterpretasikan kumpulan dataBerkolaborasi dengan programmer, engineer, dan pemimpin perusahaan untuk mengidentifikasi peluang untuk perbaikan prosesKualifikasi:Berusia 20 - 30 tahunPendidikan terakhir min. S1 Teknik Informatika / Management Informatika / SetaraPengalaman bekerja min. 1 tahun di bidang Data Analyst / Management SystemMampu mengoperasikan Microsoft Office ( Word, Excel, Powerpoint )Mampu dan menguasai rumus Microsoft Excel min. level Intermediate"
Data Analyst,PT Trinusa Travelindo,Full,"Matematika, Statistik & Teknik InformasiMatematika, Statistik & Teknik Informasi",Sains,,79081539,"It's fun to work in a company where people truly BELIEVE in what they're doing!‎‎Job DescriptionWe are seeking a Data Analyst who will serve as a key thinking partner for our business stakeholders and product management teams across of our business and product domains. In this role, you will leverage data to drive insights, support decision-making, and provide actionable recommendations that will shape the direction of our products and business strategies. Some of the key responsibilities that you will have are:Database: design, test, and collaborate with relevant parties (e.g Product Engineering, Data Engineering) to enable, extract, or enrich data/data pipeline.Reporting: design, build, and disseminate dashboards or other self-served data products to enable stakeholders get quick business performance, conduct data exploration, or derive quick insights.Analysis: design, perform, and disseminate descriptive or diagnostic analyses with valuable findings and actionable insights to better understand the business.Experimentation: design, analyze, and disseminate experiments or causal-impact studies to test multiple hypotheses, variants, or initiatives and infer the best result(s) based on relevant success metrics.Modeling: design, develop, and collaborate with relevant parties (e.g Product Engineering, Machine Learning Engineer, Data Scientist) to deploy supervised or unsupervised models as per business needs to optimize business performance.‎RequirementsPassionate in data, analysis, or insights with high curiosity and skepticism.Good communication, presentation, and storytelling skills to deliver data-inspired findings.Minimum 1 year of data analyst experienceMinimum 1 year of hands-on experience with SQL, spreadsheet, and R/Python.Minimum 1 year of dashboarding experience with BI or dataviz tools (Tableau, Looker Studio, Domo, etc.).Prior experience in conducting statistical experimentation or A/B testing is a plus.Prior experience in developing unsupervised/supervised models is a plus.Prior experience in working on cloud platforms (GCP, AWS, Azure, etc.) is a plus.Bachelor/Master's degree majoring in Statistics, Mathematics, Physics, Computers/Informatics, Engineering, or Economics is a plus.‎If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!"
(Internship) Data Analyst,PT Reja Aton Energi,Full,"Matematika, Statistik & Teknik InformasiMatematika, Statistik & Teknik Informasi",Sains,,79108202,"KUALIFIKASIINTERNSHIP DATA ANALYSTS1 atau Mahasiswa Tingkat Akhir D3/D4/S1 (Statistik, Matematika, Ilmu Komputer).Memiliki kemampuan excel, SQL, dan bahasa pemrograman.Memiliki keterampilan visualisasi data.Berorientasi pada detail.Kreatif, inovatif, Inisiatif, dan problem solving.Dapat bekerjasama dengan timJOBDESKPengumpulan, Analisis, dan Visualisasi Data Divisi.Bekerjasama dengan tim dalam analisis data, memberikan dukungan dan masukan.Monitoring data yang diperoleh dari setiap divisi."
JUNIOR BUSINESS IMPROVEMENT ANALYST,PT Fastrata Buana (Distributor Kapal Api),Full,Pengembangan Bisnis BaruPengembangan Bisnis Baru,Penjualan(Penjualan)3,,79180436,Tanggung Jawab :Melakukan project development di divisi salesMelakukan analisa proses development di divisi salesMelakukan implementasi reporting di divisi salesKualifikasi :Usia maksimal 28 tahunPendidikan S1 semua jurusan dengan IPK minimal 3.00Pengalaman minimal 1 tahun dalam bidang Sales FMCGPaham konsep Sales dan DistribusiMempunyai kemampuan komunikasi yang baikMengusai Ms. OfficeMempunyai SIM ABersedia melakukan perjalanan dinas luar kota
Talent Acquisition & Data Analytics Intern,PT Bank Bukopin Tbk,Paruh,Perekrutan – InternalPerekrutan – Internal,Sumber,,79007420,"Involve in buliding automation recruitment processes and some logic for Google Form and Google SheetSupport Talent Acquisition Team and Vendor Management DataBuilding dashboard and tracker for recruitment report, and daily SOPMastering in Ms Excel/ Google Sheet (vlookup, xlookup,PIVOT,etc)"
Data Analyst,PT Citra Berlian Sempurna,Full,"Matematika, Statistik & Teknik InformasiMatematika, Statistik & Teknik Informasi",Sains,"7.500.000, 9.000.000",79117786,"Position Overview:As a Data Analyst, you will play a crucial role in optimizing our stock management, inventory control, order processing and sales performance. You will analyze data to ensure that we meet customer deadlines while maintaining efficient operations. Your insights on sales statistics will directly influence product offerings and marketing strategies, helping us identify our best-selling and evergreen products.Key Responsibilities:Analyze and interpret data related to stock management, inventory control, and sales performance.Calculate and monitor economic order quantity and safety stock levels.Track factory performance and ensure alignment with customer deadlines.Evaluate sales statistics to identify top-selling items, evergreen products, and trends in customer preferences.Develop and maintain dashboards to summarize key performance indicators (KPIs) related to sales and inventory.Collaborate with cross-functional teams to identify data-driven solutions and improvements.Present findings and insights to stakeholders to inform strategic decisions.Preferred Qualifications:RevoU Data Analytics bootcamp graduates.Minimum of 2 years of experience as a Data Analyst, preferably in the retail industry.Proficiency in Microsoft Excel and Tableau/Google Data Studio.Other Qualifications:Bachelor’s degree in a relevant field (e.g., Data Science, Mathematics Statistics, Business Analytics).Experience with inventory management and performance analysis.Proficiency in data visualization tools and dashboard creation.Strong analytical skills with the ability to interpret complex data sets.Familiarity with statistical analysis and forecasting methods.Full WFO in Kelapa Gading, Jakarta Utara."
Business Analyst,PT Multipolar Technology Tbk,Full,Analis Bisnis/SistemAnalis Bisnis/Sistem,Teknologi,,79063075,"Job Description :Assist in performing business requirement analysis and preparing business requirement documentation (BRD) for any application development initiative and change requestDevelop data collection checklist including business process, existing software and application, and other requirements as well as ensure that all required data and information have been completely collected.Evaluate and analyze the collected data and information included the captured business requirements.Develop detailed business requirements document, present to and get approval from clients then  translate into functional design / specification documentManage any change requests related to the working project plans daily to meet the agreed deadlines.Learn to present and perform demonstration (with low to medium complexity) of the application or software to client.Requirements:Bachelor's degree from Information System, Computer Science, or Technic Informatic with min. IPK 3.00 (Fresh graduates are welcome to apply)Having knowledge in SDLCAble to work underpressure and teamworkPlacement at Jakarta/Tangerang/Bandung"
Data Analyst - Trade Marketing,PT. Akasha Wira International Tbk,Kontrak,"Matematika, Statistik & Teknik InformasiMatematika, Statistik & Teknik Informasi",Sains,,79133956,"Responsibilities:Responsible for updating Master AXProducing Target Bottom Up for Sales teamProducing ARO (Automatic Replenishment Order. Calculation system for Distributor Sales Order suggestions that must be made)Incentive calculation for Sales team and DistributorMaking 1st SO (Sales Order Distributor) allocation for New Registered Distributor at Pedro.Monitoring and ensuring closing data Distributor, coordinating with IT.Producing target STD (Sales To Distributor) by Distributor with special template then sent to IT for uploading process.Checking SA (Sales Achievement Report) Report generated by system.Requirements :Candidate must possess at least a Diploma, Bachelor's Degree, Computer Science/Information Technology, Mathematics, Statictics or equivalent.Required skill(s): Master in Excell and Data reviewerAt least 1 year(s) of working experience in the related field is required for this position.Applicants must be willing to work in Jakarta Selatan."
Antifraud Jr. Analyst,PT Home Credit Indonesia,Full,Analisis & PelaporanAnalisis & Pelaporan,Perbankan,,79183631,"What you will doMake observation on the existing process / procedure / tools / reports and do optimalization that needed.Create new tools / reports to support current process in aiming to reduce human error and achieve more effective and efficient process.Do analysis base on data retrieve (either BAU or Ad Hoc) and able to give insight or some conclusion.Process data monitoring in Antifraud unit to make sure the necessary information that needed is distributed correctly in timeWhat you will need to havePossess a Bachelor's degree with 2-3 years working experience in Risk & Anti Fraud assessment and/or AF data analysis is mandatoryPossess AF knowledge & data process within financial & technology industry is good to have.Possess knowledge of AF data review for solution design and process improvement is preferable.Possess solid stakeholder management experience related to AF process across functions is mandatory.Possess good communication skills, self-driven and analytical thinking, reporting skills is necessary.Familiar with data tools such as SQL, Tableau, Excel or Data Visualization tool is necessary."
Data Entry Staff,PT. Outsource Indonesia,Kontrak,Entri Data & Pengolahan KataEntri Data & Pengolahan Kata,Administrasi,,79144064,"Job Description :Responsible for Company Documents Administrative staff in offices are responsible for all documents, data and all administrative matters with an interest in the company.Report the process and results of the implementation of the task.Checking & monitoring Asset management.Maintain good and professional communication via telephone, email, and mail.Requirements :Max27years old.MinimumBachelor’s Degreefrom Reputable University.Minimum have 2 years experience in the same position.Good communication and interpersonal skills.Able to English communication and writing."
Database administrator,PT Artha Infotama (Jakarta),Full,Pengembangan & Administrasi DatabasePengembangan & Administrasi Database,Teknologi,,79179816,"PT. ARTHA INFOTAMA is an IT Company and is one Gold Microsoft Partner with Competency Enterprise Resource Planning (Microsoft Dynamics GP | Dynamics 365 | RMS), Cloud Solution Provider (CSP Tier 1), Cloud Productivity, Cloud Platform, Data Platform, Application Development, Midmarket Solution Provider & Authorized Education Reseller.We urgently Needed : Database AdministratorJob Description1. Exploring the root cause of unknown error, troubleshooting, and improving the solution.2. Ensuring the database performance, availability, sustainability, and security in SQL Server Database3. Archiving DataMinimum Qualification:• Minimum Bachelor in IT related field.• At least 2 year(s) of working experience in the related field• Experience in the planning, deployment and development of the database (Upgrades/Migration)• Understand strategy to tune performance, integrity and security of a database including Maintenance.• Have a good analytical thinking and problem solving skill• Willing to be placed in JakartaTechnical Skill:• Strong understanding on SQL Server, MySQL• Strong understanding on Performance Tuning and Optimization (PTO).• Strong capability in SQL Server Database, MySQL (configuration, maintenance, monitoring).• Proficiency with SQL Server feature (SQL Server Reporting Service, SQL Server Integration Service) is a plus.• Proficiency with High Availability (HA) and Disaster Recovery (DR) in SQL Server is a plus."
Document Controller (TDE Project - Data Center Construction),PT YPTT Solutions Indonesia,Kontrak,Manajemen ProyekManajemen Proyek,Konstruksi(Konstruksi)Career,,79046498,"Job description :Responsible for preparing and delivering informationResponsible for preparing reception documentsAble to process and produce built documentationPrapare for document metode of procedureQualification :Diploma degree or Bachelor's degree, Major any related backgroundFluent in English and have good communication skills.2 years experience in Building/Design projectsAble to use work-related software(EXCEL.WORD.photoshop.etc)Having a relationship with the construction team is a plus if you have experience working in Telkom TDE Project"
"Expert, Business Analyst",ASIA PULP AND PAPER,Full,Analis Bisnis/SistemAnalis Bisnis/Sistem,Teknologi,,79047160,"Job Description:Evaluating current business/corporate processes and identifying potential areas for improvementGathering insights about issues that need resolving or processes that can be improvedRecommending organizational changes, such as new systems or procedures as a part of business/corporate strategyCollaborating with managers and executives to ensure changes are effectiveJob Qualification:Bachelor’s degree in Engineering, Mathematics, or related fieldExperience minimum 7 years as a Business Analyst is a plus pointPreferable from consulting agency, or paper industryStrong communication skills and ability to convey complex information to non-technical stakeholders.Strong analysis, expert in excel and powerpoint, including dashboard development.Detail-oriented with a passion for uncovering actionable insightsThis position will be based in Thamrin office"
Collection Data Analyst and Reporting,Orico Balimor Finance,Kontrak,Analisis & PelaporanAnalisis & Pelaporan,Perbankan,,79115510,"Providing progress report (daily,weekly,monthly)Managing planning complianceCreating project plansFollowing developments in planning regulationsCalculating incentive collectionto make Operational Form in daily activityCreate and Develop new idea to improve activitesTo make sure team daily activities works wellJob Requirement:Candidate at least must have Bachelor Degree major in Accounting/Finance/Mathematic/equivalent.At least 1-2 years experience (preferably specialized in financing company)Fluent in English, Speaking & WritingAdvance Level in operating Ms. Office (especially Ms. Excel)Placement at Pangeran Jayakarta (Head Office)"
